curriculum_track,job_title,job_cluster,score,rank_small,model,computed_at
IT Network Technology,Information Security Analyst,Cluster_7,0.4841368496417999,10,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Technology Integration,Cluster_5,0.48104748129844666,11,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Data Visualization Expert,Cluster_7,0.4517849087715149,12,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,IT Consultant,Cluster_7,0.3945790231227875,13,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Technical Operations,Cluster_3,0.37502074241638184,14,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Artificial Intelligence,Cluster_7,0.37392526865005493,15,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Cloud Architect,Cluster_4,0.3570135533809662,16,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Full Stack Developer,Cluster_7,0.3479470908641815,17,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Statistics,Cluster_3,0.32559454441070557,18,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Data Engineer,Cluster_6,0.3150688409805298,19,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Network Technology,Data Architect,Cluster_6,0.3013434112071991,20,sbert+siamese_kmeans,2025-12-06T05:04:28.096110
IT Web Development,IT Systems Administrator,Cluster_0,0.9973669648170471,1,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Cloud Services Developer,Cluster_0,0.9397553205490112,2,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Database Administrator,Cluster_0,0.8585870862007141,3,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Business Intelligence Analyst,Cluster_5,0.8499677181243896,4,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Data Analyst,Cluster_0,0.8078699111938477,5,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Big Data Engineer,Cluster_0,0.7040437459945679,6,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Network Architect,Cluster_2,0.6907141804695129,7,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Data Scientist,Cluster_0,0.6158398985862732,8,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Data and Analytics Manager,Cluster_6,0.5457478165626526,9,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Information Security Analyst,Cluster_7,0.5012674331665039,10,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Data Visualization Expert,Cluster_7,0.4862442910671234,11,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Technology Integration,Cluster_5,0.4534677267074585,12,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,IT Consultant,Cluster_7,0.4271162450313568,13,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Artificial Intelligence,Cluster_7,0.4145430326461792,14,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Technical Operations,Cluster_3,0.4139430820941925,15,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Cloud Architect,Cluster_4,0.4014314115047455,16,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Full Stack Developer,Cluster_7,0.38546839356422424,17,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Data Engineer,Cluster_6,0.34930479526519775,18,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Statistics,Cluster_3,0.337454617023468,19,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
IT Web Development,Business Analyst,Cluster_6,0.33386901021003723,20,sbert+siamese_kmeans,2025-12-06T05:04:28.666692
